datetime,buyRatio,sellRatio,closingPrice
2025-11-20 00:00:00,46.489999999999995,53.510000000000005,1.15267
2025-11-21 00:00:00,44.45,55.55,1.15097
2025-11-24 00:00:00,45.58,54.42,1.152
2025-11-25 00:00:00,45.14,54.86,1.15691
2025-11-26 00:00:00,40.63,59.37,1.15942
2025-11-27 00:00:00,37.85,62.15,1.1594
2025-11-28 00:00:00,38.66,61.34,1.1595
2025-12-01 00:00:00,38.59,61.41,1.16085
2025-12-02 00:00:00,38.98,61.02,1.16218
2025-12-03 00:00:00,37.43,62.57,1.16679
2025-12-04 00:00:00,35.05,64.95,1.16421
2025-12-05 00:00:00,38.81,61.19,1.16413
2025-12-08 00:00:00,39.12,60.88,1.1636
2025-12-09 00:00:00,39.7,60.3,1.16254
2025-12-10 00:00:00,38.85,61.15,1.16942
2025-12-11 00:00:00,35.68,64.32,1.17379
2025-12-12 00:00:00,32.36,67.64,1.17368
2025-12-15 00:00:00,32.72,67.28,1.17521
2025-12-16 00:00:00,32.910000000000004,67.09,1.17456
2025-12-17 00:00:00,32.96,67.03999999999999,
