datetime,buyRatio,sellRatio,closingPrice
2025-11-20 00:00:00,37.169999999999995,62.830000000000005,205.781
2025-11-21 00:00:00,38.09,61.91,204.766
2025-11-24 00:00:00,40.97,59.03,205.537
2025-11-25 00:00:00,40.35,59.65,205.335
2025-11-26 00:00:00,39.37,60.63,207.149
2025-11-27 00:00:00,35.91,64.09,206.907
2025-11-28 00:00:00,35.010000000000005,64.99,206.564
2025-12-01 00:00:00,37.61,62.39,205.292
2025-12-02 00:00:00,43.71,56.29,205.75
2025-12-03 00:00:00,41.23,58.77,207.174
2025-12-04 00:00:00,36.19,63.81,206.595
2025-12-05 00:00:00,36.63,63.37,207.033
2025-12-08 00:00:00,35.28,64.72,207.619
2025-12-09 00:00:00,34.12,65.88,208.51
2025-12-10 00:00:00,34.22,65.78,
