datetime,buyRatio,sellRatio,closingPrice
2025-11-20 00:00:00,49.84,50.16,1.30712
2025-11-21 00:00:00,43.56,56.44,1.3095
2025-11-24 00:00:00,49.82,50.18,1.31035
2025-11-25 00:00:00,49.38,50.62,1.31613
2025-11-26 00:00:00,48,52,1.32401
2025-11-27 00:00:00,47.36,52.64,1.32384
2025-11-28 00:00:00,46.949999999999996,53.050000000000004,1.32232
2025-12-01 00:00:00,50.09,49.91,1.32089
2025-12-02 00:00:00,50.71,49.29,1.32026
2025-12-03 00:00:00,50.44,49.56,1.33511
2025-12-04 00:00:00,45.92,54.08,1.33241
2025-12-05 00:00:00,44.96,55.04,1.33291
2025-12-08 00:00:00,46.12,53.88,1.33205
2025-12-09 00:00:00,46.92,53.08,
2025-12-10 00:00:00,50.14999999999999,49.85000000000001,
