datetime,buyRatio,sellRatio,closingPrice
2025-11-20 00:00:00,36.71,63.29,157.471
2025-11-21 00:00:00,37.55,62.45,156.32
2025-11-24 00:00:00,41.48,58.52,156.903
2025-11-25 00:00:00,43.91,56.09,156.041
2025-11-26 00:00:00,42.64,57.36,156.457
2025-11-27 00:00:00,44.080000000000005,55.919999999999995,156.286
2025-11-28 00:00:00,43.05,56.95,156.12
2025-12-01 00:00:00,44.78,55.22,155.427
2025-12-02 00:00:00,45.25,54.75,155.811
2025-12-03 00:00:00,43.63,56.37,155.207
2025-12-04 00:00:00,46.87,53.13,155.077
2025-12-05 00:00:00,47.89,52.11,155.353
2025-12-08 00:00:00,44.89,55.11,
2025-12-09 00:00:00,43.56,56.44,
